SITE_ID,version,corr_uncorr_type_corr,flux_calc,openet_model,r2_corr,MAE_corr,MBE_corr,Latitude,Longitude,corr_uncorr_type_uncorr,r2_uncorr,MAE_uncorr,MBE_uncorr,r2_diff,MAE_diff,MBE_diff
US-Bkg,v3,corr,Closed,EEMETRIC,0.5800722711494456,1.076186044073649,0.2767361494206193,44.34529,-96.83617,uncorr,0.5525794482183048,1.1923416165226135,-0.11490076277112,0.027492822931140748,-0.11615557244896446,0.3916369121917393
US-Bo1,v3,corr,Closed,EEMETRIC,0.6178951365601577,0.8559350106515132,0.1099581533457015,40.0062,-88.2904,uncorr,0.6153123313078624,0.9747338628622974,-0.1860387052193549,0.0025828052522952616,-0.11879885221078412,0.2959968585650564
US-Br1,v3,corr,Closed,EEMETRIC,0.7446039695572734,0.8762647687157367,0.3285361804387096,41.9749,-93.6906,uncorr,0.7117767198212629,0.9504033762720098,-0.1559433226667121,0.03282724973601048,-0.0741386075562731,0.48447950310542165
US-Br3,v3,corr,Closed,EEMETRIC,0.6834212307095141,0.8721114066880296,0.2028215697139015,41.97472,-93.69357,uncorr,0.6653430400812824,0.9979639122328984,-0.2698852130459361,0.018078190628231683,-0.12585250554486882,0.4727067827598376
US-CRT,v3,corr,Closed,EEMETRIC,0.6774749652176802,1.304635326644929,1.0425859931054702,41.628495,-83.347086,uncorr,0.6706789265794042,1.277690460680866,0.81187199755535,0.006796038638276047,0.026944865964063203,0.23071399555012018
US-Dk1,v3,corr,Closed,EEMETRIC,0.531110940266543,1.0519732052507065,0.3393571513554759,35.9712,-79.09338,uncorr,0.4960189173185672,1.1257678319830715,-0.1441370077302206,0.035092022947975865,-0.07379462673236503,0.4834941590856965
US-IB1,v3,corr,Closed,EEMETRIC,0.6140054832413395,1.0461530887926644,0.3988809570909202,41.8593,-88.22273,uncorr,0.5930170480703355,1.1161521195556192,0.0766365731022341,0.020988435171004016,-0.06999903076295477,0.3222443839886861
US-KLS,v3,corr,Closed,EEMETRIC,0.4491592714239377,1.2596460853302798,-0.4701174354647611,38.7745,-97.5684,uncorr,0.4454633148714912,1.411540490477616,-0.7846032971186491,0.0036959565524464777,-0.15189440514733632,0.314485861653888
US-Ne1,v3,corr,Closed,EEMETRIC,0.7275035838156269,1.1917718263217996,0.31404504281055,41.16506,-96.47664,uncorr,0.7221475159712025,1.265492230193929,-0.1073703025331011,0.005356067844424328,-0.07372040387212953,0.4214153453436511
US-Ne2,v3,corr,Closed,EEMETRIC,0.7334954387686102,1.140410758004352,0.3290318334978687,41.16487,-96.4701,uncorr,0.7300451852255107,1.220993063860308,-0.0625318720962609,0.0034502535430995795,-0.08058230585595583,0.39156370559412956
US-Ne3,v3,corr,Closed,EEMETRIC,0.7047701354827096,1.0437182096382724,0.1171623355086714,41.17967,-96.43965,uncorr,0.7032550918190605,1.1290441838559362,-0.2229434187121047,0.0015150436636490738,-0.08532597421766375,0.3401057542207761
US-OF2,v3,corr,Closed,EEMETRIC,0.0781793287474164,2.259244293842654,2.239603837500936,35.7406,-90.0489,uncorr,0.0254018663610596,1.7123460440518337,1.5122738779876512,0.0527774623863568,0.5468982497908204,0.7273299595132847
US-OF4,v3,corr,Closed,EEMETRIC,0.0056401515440554,1.830167673103128,1.830167673103128,35.734346,-90.037982,uncorr,0.005640125717065,1.3180480179135945,1.0617932782272768,2.582699039962305e-08,0.5121196551895335,0.7683743948758512
US-Ro1,v3,corr,Closed,EEMETRIC,0.629479831071972,1.1343099710619635,0.4942090715687649,44.7143,-93.0898,uncorr,0.5926415077385746,1.3683846245756657,-0.1009155230549895,0.03683832333339743,-0.23407465351370216,0.5951245946237544
US-Ro2,v3,corr,Closed,EEMETRIC,0.7139540291678468,0.7702014716969694,0.3391615752344026,44.7288,-93.0888,uncorr,0.6697895109242921,0.8333926331815678,-0.2787985707467154,0.04416451824355472,-0.06319116148459836,0.6179601459811179
US-Ro3,v3,corr,Closed,EEMETRIC,0.7024936532645036,0.7632410004277881,0.2102947667478072,44.7217,-93.0893,uncorr,0.6868385145337166,0.9631007888429776,-0.3170977523410319,0.015655138730787055,-0.19985978841518948,0.5273925190888391
US-Ro6,v3,corr,Closed,EEMETRIC,0.6102109238860307,1.111560306745997,0.2481533250139218,44.6946,-93.05776,uncorr,0.5295628901619661,1.1661507280175838,-0.1902513348163764,0.0806480337240646,-0.054590421271586864,0.4384046598302982
US-Tw2,v3,corr,Closed,EEMETRIC,0.4096735512304474,1.0228385404875766,0.224079537198522,38.1047,-121.6433,uncorr,0.4084719825521446,1.131881168524776,-0.0596559126457431,0.001201568678302789,-0.10904262803719944,0.28373544984426513
US-Tw3,v3,corr,Closed,EEMETRIC,0.7303218227104489,0.8886951254837901,-0.1401982070104475,38.1159,-121.6467,uncorr,0.723164555482855,0.9908373515802978,-0.3620488359527063,0.007157267227593911,-0.1021422260965077,0.22185062894225882
